Initializing database schema...
Database initialized.
Latest block on Sepolia : 11034114
Start block             : 11032114
Total blocks to crawl   : 2000
Resuming from block 11032114...

  [ 13.2%] block 11032379 done
  [ 13.3%] block 11032380 done
  [ 13.4%] block 11032381 done
  [ 13.4%] block 11032382 done
  [ 13.5%] block 11032383 done
  [ 13.5%] block 11032384 done
  [ 13.6%] block 11032385 done
  [ 13.6%] block 11032386 done
  [ 13.7%] block 11032387 done
  [ 13.7%] block 11032388 done
  [ 13.8%] block 11032389 done
  [ 13.8%] block 11032390 done
  [ 13.9%] block 11032391 done
  [ 13.9%] block 11032392 done
  [ 14.0%] block 11032393 done
  [ 14.0%] block 11032394 done
  [ 14.1%] block 11032395 done
  [ 14.1%] block 11032396 done
  [ 14.1%] block 11032397 done
  [ 14.2%] block 11032398 done
  [ 14.2%] block 11032399 done
  [ 14.3%] block 11032400 done
  [ 14.3%] block 11032401 done
  [ 14.4%] block 11032402 done
  [ 14.4%] block 11032403 done
  [ 14.5%] block 11032404 done
  [ 14.5%] block 11032405 done
  [ 14.6%] block 11032406 done
  [ 14.6%] block 11032407 done
  [ 14.7%] block 11032408 done
  [ 14.8%] block 11032409 done
  [ 14.8%] block 11032410 done
  [ 14.8%] block 11032411 done
  [ 14.9%] block 11032412 done
  [ 14.9%] block 11032413 done
Batch 11032414 → 11032513
  [ 15.0%] block 11032414 done
  [ 15.0%] block 11032415 done
  [ 15.1%] block 11032416 done
  [ 15.2%] block 11032417 done
  [ 15.2%] block 11032418 done
  [ 15.2%] block 11032419 done
  [ 15.3%] block 11032420 done
  [ 15.3%] block 11032421 done
  [ 15.4%] block 11032422 done
  [ 15.4%] block 11032423 done
  [ 15.5%] block 11032424 done
  [ 15.6%] block 11032425 done
  [ 15.6%] block 11032426 done
  [ 15.7%] block 11032427 done
  [ 15.7%] block 11032428 done
  [ 15.8%] block 11032429 done
  [ 15.8%] block 11032430 done
  [ 15.8%] block 11032431 done
  [ 15.9%] block 11032432 done
  [ 16.0%] block 11032433 done
  [ 16.0%] block 11032434 done
  [ 16.1%] block 11032435 done
  [ 16.1%] block 11032436 done
  [ 16.2%] block 11032437 done
  [ 16.2%] block 11032438 done
  [ 16.2%] block 11032439 done
  [ 16.3%] block 11032440 done
  [ 16.4%] block 11032441 done
  [ 16.4%] block 11032442 done
  [ 16.4%] block 11032443 done
  [ 16.5%] block 11032444 done
  [ 16.6%] block 11032445 done
  [ 16.6%] block 11032446 done
  [ 16.7%] block 11032447 done
  [ 16.7%] block 11032448 done
  [ 16.8%] block 11032449 done
  [ 16.8%] block 11032450 done
  [ 16.9%] block 11032451 done
  [ 16.9%] block 11032452 done
  [ 17.0%] block 11032453 done
  [ 17.0%] block 11032454 done
  [ 17.1%] block 11032455 done
  [ 17.1%] block 11032456 done
  [ 17.2%] block 11032457 done
  [ 17.2%] block 11032458 done
  [ 17.2%] block 11032459 done
  [ 17.3%] block 11032460 done
  [ 17.3%] block 11032461 done
  [ 17.4%] block 11032462 done
  [ 17.4%] block 11032463 done
  [ 17.5%] block 11032464 done
  [ 17.5%] block 11032465 done
  [ 17.6%] block 11032466 done
  [ 17.6%] block 11032467 done
  [ 17.7%] block 11032468 done
  [ 17.8%] block 11032469 done
  [ 17.8%] block 11032470 done
  [ 17.8%] block 11032471 done
  [ 17.9%] block 11032472 done
  [ 17.9%] block 11032473 done
  [ 18.0%] block 11032474 done
  [ 18.1%] block 11032475 done
  [ 18.1%] block 11032476 done
  [ 18.1%] block 11032477 done
  [ 18.2%] block 11032478 done
  [ 18.2%] block 11032479 done
  [ 18.3%] block 11032480 done
  [ 18.4%] block 11032481 done
  [ 18.4%] block 11032482 done
  [ 18.4%] block 11032483 done
  [ 18.5%] block 11032484 done
  [ 18.6%] block 11032485 done
  [ 18.6%] block 11032486 done
  [ 18.6%] block 11032487 done
  [ 18.7%] block 11032488 done
  [ 18.8%] block 11032489 done
  [ 18.8%] block 11032490 done
  [ 18.9%] block 11032491 done
  [ 18.9%] block 11032492 done
  [ 18.9%] block 11032493 done
  [ 19.0%] block 11032494 done
  [ 19.1%] block 11032495 done
  [ 19.1%] block 11032496 done
  [ 19.1%] block 11032497 done
  [ 19.2%] block 11032498 done
  [ 19.2%] block 11032499 done
  [ 19.3%] block 11032500 done
  [ 19.4%] block 11032501 done
  [ 19.4%] block 11032502 done
  [ 19.4%] block 11032503 done
  [ 19.5%] block 11032504 done
  [ 19.6%] block 11032505 done
  [ 19.6%] block 11032506 done
  [ 19.7%] block 11032507 done
  [ 19.7%] block 11032508 done
  [ 19.8%] block 11032509 done
  [ 19.8%] block 11032510 done
  [ 19.9%] block 11032511 done
  [ 19.9%] block 11032512 done
  [ 20.0%] block 11032513 done
Batch 11032514 → 11032613
  [ 20.0%] block 11032514 done
  [ 20.1%] block 11032515 done
  [ 20.1%] block 11032516 done
  [ 20.2%] block 11032517 done
  [ 20.2%] block 11032518 done
  [ 20.2%] block 11032519 done
  [ 20.3%] block 11032520 done
  [ 20.3%] block 11032521 done
  [ 20.4%] block 11032522 done
  [ 20.4%] block 11032523 done
  [ 20.5%] block 11032524 done
  [ 20.5%] block 11032525 done
  [ 20.6%] block 11032526 done
  [ 20.6%] block 11032527 done
  [ 20.7%] block 11032528 done
  [ 20.8%] block 11032529 done
  [ 20.8%] block 11032530 done
  [ 20.8%] block 11032531 done
  [ 20.9%] block 11032532 done
  [ 20.9%] block 11032533 done
  [ 21.0%] block 11032534 done
  [ 21.1%] block 11032535 done
  [ 21.1%] block 11032536 done
  [ 21.1%] block 11032537 done
  [ 21.2%] block 11032538 done
  [ 21.2%] block 11032539 done
  [ 21.3%] block 11032540 done
  [ 21.3%] block 11032541 done
  [ 21.4%] block 11032542 done
  [ 21.4%] block 11032543 done
  [ 21.5%] block 11032544 done
  [ 21.6%] block 11032545 done
  [ 21.6%] block 11032546 done
  [ 21.6%] block 11032547 done
  [ 21.7%] block 11032548 done
  [ 21.8%] block 11032549 done
  [ 21.8%] block 11032550 done
  [ 21.9%] block 11032551 done
  [ 21.9%] block 11032552 done
  [ 21.9%] block 11032553 done
  [ 22.0%] block 11032554 done
  [ 22.1%] block 11032555 done
  [ 22.1%] block 11032556 done
  [ 22.1%] block 11032557 done
  [ 22.2%] block 11032558 done
  [ 22.2%] block 11032559 done
  [ 22.3%] block 11032560 done
  [ 22.4%] block 11032561 done
  [ 22.4%] block 11032562 done
  [ 22.4%] block 11032563 done
  [ 22.5%] block 11032564 done
  [ 22.6%] block 11032565 done
  [ 22.6%] block 11032566 done
  [ 22.7%] block 11032567 done
  [ 22.7%] block 11032568 done
  [ 22.8%] block 11032569 done
  [ 22.8%] block 11032570 done
  [ 22.9%] block 11032571 done
  [ 22.9%] block 11032572 done
  [ 22.9%] block 11032573 done
  [ 23.0%] block 11032574 done
  [ 23.1%] block 11032575 done
  [ 23.1%] block 11032576 done
  [ 23.2%] block 11032577 done
  [ 23.2%] block 11032578 done
  [ 23.2%] block 11032579 done
  [ 23.3%] block 11032580 done
  [ 23.4%] block 11032581 done
  [ 23.4%] block 11032582 done
  [ 23.4%] block 11032583 done
  [ 23.5%] block 11032584 done
  [ 23.5%] block 11032585 done
  [ 23.6%] block 11032586 done
  [ 23.6%] block 11032587 done
  [ 23.7%] block 11032588 done
  [ 23.8%] block 11032589 done
  [ 23.8%] block 11032590 done
  [ 23.8%] block 11032591 done
  [ 23.9%] block 11032592 done
  [ 23.9%] block 11032593 done
  [ 24.0%] block 11032594 done
  [ 24.1%] block 11032595 done
  [ 24.1%] block 11032596 done
  [ 24.1%] block 11032597 done
  [ 24.2%] block 11032598 done
  [ 24.2%] block 11032599 done
  [ 24.3%] block 11032600 done
  [ 24.3%] block 11032601 done
  [ 24.4%] block 11032602 done
  [ 24.4%] block 11032603 done
  [ 24.5%] block 11032604 done
  [ 24.6%] block 11032605 done
  [ 24.6%] block 11032606 done
  [ 24.6%] block 11032607 done
  [ 24.7%] block 11032608 done
  [ 24.8%] block 11032609 done
  [ 24.8%] block 11032610 done
  [ 24.9%] block 11032611 done
  [ 24.9%] block 11032612 done
  [ 24.9%] block 11032613 done
Batch 11032614 → 11032713
  [ 25.0%] block 11032614 done
  [ 25.1%] block 11032615 done
  [ 25.1%] block 11032616 done
  [ 25.1%] block 11032617 done
  [ 25.2%] block 11032618 done
  [ 25.2%] block 11032619 done
  [ 25.3%] block 11032620 done
  [ 25.4%] block 11032621 done
  [ 25.4%] block 11032622 done
  [ 25.4%] block 11032623 done
  [ 25.5%] block 11032624 done
  [ 25.6%] block 11032625 done
  [ 25.6%] block 11032626 done
  [ 25.7%] block 11032627 done
  [ 25.7%] block 11032628 done
  [ 25.8%] block 11032629 done
  [ 25.8%] block 11032630 done
  [ 25.9%] block 11032631 done
  [ 25.9%] block 11032632 done
  [ 25.9%] block 11032633 done
  [ 26.0%] block 11032634 done
  [ 26.1%] block 11032635 done
  [ 26.1%] block 11032636 done
  [ 26.2%] block 11032637 done
  [ 26.2%] block 11032638 done
  [ 26.2%] block 11032639 done
  [ 26.3%] block 11032640 done
  [ 26.4%] block 11032641 done
  [ 26.4%] block 11032642 done
  [ 26.5%] block 11032643 done
  [ 26.5%] block 11032644 done
  [ 26.6%] block 11032645 done
  [ 26.6%] block 11032646 done
  [ 26.7%] block 11032647 done
  [ 26.7%] block 11032648 done
  [ 26.8%] block 11032649 done
  [ 26.8%] block 11032650 done
  [ 26.9%] block 11032651 done
  [ 26.9%] block 11032652 done
  [ 27.0%] block 11032653 done
  [ 27.0%] block 11032654 done
  [ 27.1%] block 11032655 done
  [ 27.1%] block 11032656 done
  [ 27.2%] block 11032657 done
  [ 27.2%] block 11032658 done
  [ 27.3%] block 11032659 done
  [ 27.3%] block 11032660 done
  [ 27.4%] block 11032661 done
  [ 27.4%] block 11032662 done
  [ 27.5%] block 11032663 done
  [ 27.5%] block 11032664 done
  [ 27.6%] block 11032665 done
  [ 27.6%] block 11032666 done
  [ 27.7%] block 11032667 done
  [ 27.7%] block 11032668 done
  [ 27.8%] block 11032669 done
  [ 27.8%] block 11032670 done
  [ 27.9%] block 11032671 done
  [ 27.9%] block 11032672 done
  [ 28.0%] block 11032673 done
  [ 28.0%] block 11032674 done
  [ 28.1%] block 11032675 done
  [ 28.1%] block 11032676 done
  [ 28.1%] block 11032677 done
  [ 28.2%] block 11032678 done
  [ 28.2%] block 11032679 done
  [ 28.3%] block 11032680 done
  [ 28.3%] block 11032681 done
  [ 28.4%] block 11032682 done
  [ 28.4%] block 11032683 done
  [ 28.5%] block 11032684 done
  [ 28.5%] block 11032685 done
  [ 28.6%] block 11032686 done
  [ 28.6%] block 11032687 done
  [ 28.7%] block 11032688 done
  [ 28.7%] block 11032689 done
  [ 28.8%] block 11032690 done
  [ 28.8%] block 11032691 done
  [ 28.9%] block 11032692 done
  [ 28.9%] block 11032693 done
  [ 29.0%] block 11032694 done
  [ 29.0%] block 11032695 done
  [ 29.1%] block 11032696 done
  [ 29.1%] block 11032697 done
  [ 29.2%] block 11032698 done
  [ 29.2%] block 11032699 done
  [ 29.3%] block 11032700 done
  [ 29.3%] block 11032701 done
  [ 29.4%] block 11032702 done
  [ 29.4%] block 11032703 done
  [ 29.5%] block 11032704 done
  [ 29.5%] block 11032705 done
  [ 29.6%] block 11032706 done
  [ 29.6%] block 11032707 done
  [ 29.7%] block 11032708 done
  [ 29.8%] block 11032709 done
  [ 29.8%] block 11032710 done
  [ 29.8%] block 11032711 done
  [ 29.9%] block 11032712 done
  [ 29.9%] block 11032713 done
Batch 11032714 → 11032813
  [ 30.0%] block 11032714 done
  [ 30.0%] block 11032715 done
  [ 30.1%] block 11032716 done
  [ 30.1%] block 11032717 done
  [ 30.2%] block 11032718 done
  [ 30.2%] block 11032719 done
  [ 30.3%] block 11032720 done
  [ 30.3%] block 11032721 done
  [ 30.4%] block 11032722 done
  [ 30.4%] block 11032723 done
  [ 30.5%] block 11032724 done
  [ 30.6%] block 11032725 done
  [ 30.6%] block 11032726 done
  [ 30.6%] block 11032727 done
  [ 30.7%] block 11032728 done
  [ 30.8%] block 11032729 done
  [ 30.8%] block 11032730 done
  [ 30.9%] block 11032731 done
  [ 30.9%] block 11032732 done
  [ 30.9%] block 11032733 done
  [ 31.0%] block 11032734 done
  [ 31.1%] block 11032735 done
  [ 31.1%] block 11032736 done
  [ 31.1%] block 11032737 done
  [ 31.2%] block 11032738 done
  [ 31.2%] block 11032739 done
  [ 31.3%] block 11032740 done
  [ 31.4%] block 11032741 done
  [ 31.4%] block 11032742 done
  [ 31.4%] block 11032743 done
  [ 31.5%] block 11032744 done
  [ 31.6%] block 11032745 done
  [ 31.6%] block 11032746 done
  [ 31.6%] block 11032747 done
  [ 31.7%] block 11032748 done
  [ 31.8%] block 11032749 done
  [ 31.8%] block 11032750 done
  [ 31.9%] block 11032751 done
  [ 31.9%] block 11032752 done
  [ 31.9%] block 11032753 done
  [ 32.0%] block 11032754 done
  [ 32.0%] block 11032755 done
  [ 32.1%] block 11032756 done
  [ 32.1%] block 11032757 done
  [ 32.2%] block 11032758 done
  [ 32.2%] block 11032759 done
  [ 32.3%] block 11032760 done
  [ 32.4%] block 11032761 done
  [ 32.4%] block 11032762 done
  [ 32.5%] block 11032763 done
  [ 32.5%] block 11032764 done
  [ 32.6%] block 11032765 done
  [ 32.6%] block 11032766 done
  [ 32.6%] block 11032767 done
  [ 32.7%] block 11032768 done
  [ 32.8%] block 11032769 done
  [ 32.8%] block 11032770 done
  [ 32.9%] block 11032771 done
  [ 32.9%] block 11032772 done
  [ 33.0%] block 11032773 done
  [ 33.0%] block 11032774 done
  [ 33.1%] block 11032775 done
  [ 33.1%] block 11032776 done
  [ 33.1%] block 11032777 done
  [ 33.2%] block 11032778 done
  [ 33.2%] block 11032779 done
  [ 33.3%] block 11032780 done
  [ 33.4%] block 11032781 done
  [ 33.4%] block 11032782 done
  [ 33.5%] block 11032783 done
  [ 33.5%] block 11032784 done
  [ 33.6%] block 11032785 done
  [ 33.6%] block 11032786 done
  [ 33.7%] block 11032787 done
  [ 33.7%] block 11032788 done
  [ 33.8%] block 11032789 done
  [ 33.8%] block 11032790 done
  [ 33.9%] block 11032791 done
  [ 33.9%] block 11032792 done
  [ 34.0%] block 11032793 done
  [ 34.0%] block 11032794 done
  [ 34.1%] block 11032795 done
  [ 34.1%] block 11032796 done
  [ 34.2%] block 11032797 done
  [ 34.2%] block 11032798 done
  [ 34.2%] block 11032799 done
  [ 34.3%] block 11032800 done
  [ 34.4%] block 11032801 done
  [ 34.4%] block 11032802 done
  [ 34.4%] block 11032803 done
  [ 34.5%] block 11032804 done
  [ 34.5%] block 11032805 done
  [ 34.6%] block 11032806 done
  [ 34.6%] block 11032807 done
  [ 34.7%] block 11032808 done
  [ 34.8%] block 11032809 done
  [ 34.8%] block 11032810 done
  [ 34.8%] block 11032811 done
  [ 34.9%] block 11032812 done
  [ 34.9%] block 11032813 done
Batch 11032814 → 11032913
  [ 35.0%] block 11032814 done
  [ 35.0%] block 11032815 done
  [ 35.1%] block 11032816 done
  [ 35.1%] block 11032817 done
  [ 35.2%] block 11032818 done
  [ 35.2%] block 11032819 done
  [ 35.3%] block 11032820 done
  [ 35.4%] block 11032821 done
  [ 35.4%] block 11032822 done
  [ 35.4%] block 11032823 done
  [ 35.5%] block 11032824 done
  [ 35.5%] block 11032825 done
  [ 35.6%] block 11032826 done
  [ 35.6%] block 11032827 done
  [ 35.7%] block 11032828 done
  [ 35.8%] block 11032829 done
  [ 35.8%] block 11032830 done
  [ 35.9%] block 11032831 done
  [ 35.9%] block 11032832 done
  [ 35.9%] block 11032833 done
  [ 36.0%] block 11032834 done
  [ 36.0%] block 11032835 done
  [ 36.1%] block 11032836 done
  [ 36.1%] block 11032837 done
  [ 36.2%] block 11032838 done
  [ 36.2%] block 11032839 done
  [ 36.3%] block 11032840 done
  [ 36.4%] block 11032841 done
  [ 36.4%] block 11032842 done
  [ 36.4%] block 11032843 done
  [ 36.5%] block 11032844 done
  [ 36.5%] block 11032845 done
  [ 36.6%] block 11032846 done
  [ 36.6%] block 11032847 done
  [ 36.7%] block 11032848 done
  [ 36.8%] block 11032849 done
  [ 36.8%] block 11032850 done
  [ 36.9%] block 11032851 done
  [ 36.9%] block 11032852 done
  [ 37.0%] block 11032853 done
  [ 37.0%] block 11032854 done
  [ 37.0%] block 11032855 done
  [ 37.1%] block 11032856 done
  [ 37.1%] block 11032857 done
  [ 37.2%] block 11032858 done
  [ 37.2%] block 11032859 done
  [ 37.3%] block 11032860 done
  [ 37.4%] block 11032861 done
  [ 37.4%] block 11032862 done
  [ 37.5%] block 11032863 done
  [ 37.5%] block 11032864 done
  [ 37.5%] block 11032865 done
  [ 37.6%] block 11032866 done
  [ 37.6%] block 11032867 done
  [ 37.7%] block 11032868 done
  [ 37.8%] block 11032869 done
  [ 37.8%] block 11032870 done
  [ 37.9%] block 11032871 done
  [ 37.9%] block 11032872 done
  [ 38.0%] block 11032873 done
  [ 38.0%] block 11032874 done
  [ 38.0%] block 11032875 done
  [ 38.1%] block 11032876 done
  [ 38.1%] block 11032877 done
  [ 38.2%] block 11032878 done
  [ 38.2%] block 11032879 done
  [ 38.3%] block 11032880 done
  [ 38.4%] block 11032881 done
  [ 38.4%] block 11032882 done
  [ 38.5%] block 11032883 done
  [ 38.5%] block 11032884 done
  [ 38.6%] block 11032885 done
  [ 38.6%] block 11032886 done
  [ 38.6%] block 11032887 done
  [ 38.7%] block 11032888 done
  [ 38.8%] block 11032889 done
  [ 38.8%] block 11032890 done
  [ 38.9%] block 11032891 done
  [ 38.9%] block 11032892 done
  [ 39.0%] block 11032893 done
  [ 39.0%] block 11032894 done
  [ 39.1%] block 11032895 done
  [ 39.1%] block 11032896 done
  [ 39.1%] block 11032897 done
  [ 39.2%] block 11032898 done
  [ 39.2%] block 11032899 done
  [ 39.3%] block 11032900 done
  [ 39.4%] block 11032901 done
  [ 39.4%] block 11032902 done
  [ 39.5%] block 11032903 done
  [ 39.5%] block 11032904 done
  [ 39.6%] block 11032905 done
  [ 39.6%] block 11032906 done
  [ 39.6%] block 11032907 done
  [ 39.7%] block 11032908 done
  [ 39.8%] block 11032909 done
  [ 39.8%] block 11032910 done
  [ 39.9%] block 11032911 done
  [ 39.9%] block 11032912 done
  [ 40.0%] block 11032913 done
Batch 11032914 → 11033013
  [ 40.0%] block 11032914 done
  [ 40.1%] block 11032915 done
  [ 40.1%] block 11032916 done
  [ 40.2%] block 11032917 done
  [ 40.2%] block 11032918 done
  [ 40.2%] block 11032919 done
  [ 40.3%] block 11032920 done
  [ 40.4%] block 11032921 done
  [ 40.4%] block 11032922 done
  [ 40.5%] block 11032923 done
  [ 40.5%] block 11032924 done
  [ 40.6%] block 11032925 done
  [ 40.6%] block 11032926 done
  [ 40.6%] block 11032927 done
  [ 40.7%] block 11032928 done
